ldm_entity, related_entites
BIRD_PRPTL_DBT_SCRTY_LDM,BIRD_DBT_SCRTY_LDM:BIRD_DBT_SCRTY_DBTR_ASSGNMNT_LDM:BIRD_SCRTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_SCRTY_CLLTRL_LDM:BIRD_FNNCL_CLLTRL_LDM:BIRD_CLLTRL_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_CMPNNT_LDM:BIRD_SCTRY_BRRWNG_LNDNG_TRNSCTN_INCLDNG_CSH_CLLTRL_LDM:BIRD_SCRTY_SCRTY_RPRCHS_AGRMNT_CMPNNT_ASSGNMNT_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_SCRTY_ISSR_ASSGNMNT_LDM:BIRD_RTNG_GRD_ISS_BSD_RTNG_SSTM_DBT_SCRTY_ASSGNMNT_LDM:BIRD_DBT_SCRTY_ISSD_LDM:BIRD_FNNCL_GRNT_INSTRMNT_DBT_SCRT_DBT_SCRTY_ASSGNMNT_LDM:BIRD_SCRTY_DBTR_LDM:BIRD_ORGNSTN_RL_LDM:BIRD_ORGNSTN_LDM:BIRD_LGL_PRSN_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_RTNG_GRD_ISS_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_GRD_LDM:BIRD_ISS_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_SYSTM_LDM:BIRD_DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT_LDM:BIRD_TRDTNL_SCRTSTN_LDM:BIRD_SCRTSTN_LDM:BIRD_SCRTSN_OTHR_CRDT_TRNSFR_LDM:BIRD_FNNCL_GRNT_INSTRMNT_DBT_SCRT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_LDM:BIRD_TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_FNNCL_GRNT_LDM:BIRD_TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_LDM:BIRD_TRNCH_SYNTHTC_SCRTSTN_LDM:BIRD_SCRTSTN_TRNCH_LDM:BIRD_FNNCL_GRNT_INSTRMNT_BNFCRY_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_PRTCTN_PRVDR_ASSGNMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_EQTY_INSTRMNT_NT_SCRTY_INVSTR_ASSGNMNT_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_RSK_FAC_SA_LDM:BIRD_CLLTRL_ANNX_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_PRTCTN_PRTCTN_PRVD_ASSGNMNT_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_CLLTRL_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_LDM:BIRD_SFT_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_BRRWR_ASSGNMNT_LDM:BIRD_SCRTY_BRRWNG_LNDNG_TRNSCTN_LNDR_ASSGNMNT_LDM:BIRD_SCRTY_LG_LDM:BIRD_TRNSFRD_ASST_LG_LDM:BIRD_RPRCHS_AGRMNT_CMPNNT_LDM:BIRD_RPRCHS_AGRMNT_INSTRMNT_LDM:BIRD_ISSR_LDM:BIRD_CRDT_SPRD_RSK_NN_SCRTSTN_RSK_FCTR_STNDRDSD_APPRCH_LDM:BIRD_EQTY_INSTRMNT_NT_SCRTY_ISSR_ASSGNMNT_LDM
BIRD_PRTCTN_ARRNGMNT_LDM,BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_CLLTRL_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_CLLTRL_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_PRTCTN_PRTCTN_PRVD_ASSGNMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_PRTCTN_PRVDR_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_FNNCL_GRNT_INSTRMNT_PRTCTN_PRVDR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM
BIRD_PRTCTN_PRTCTN_PRVD_ASSGNMNT_LDM,BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_CLLTRL_LDM:BIRD_PRTCTN_PRTCTN_PRVD_ASSGNMNT_LDM:BIRD_PRTCTN_PRVDR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM:BIRD_PRTY_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_PRTCTN_PRVDR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM
BIRD_PRTCTN_PRVDR_LDM,BIRD_PRTY_RL_LDM:BIRD_PRTY_LDM:BIRD_ENTTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_PRTCTN_PRVDR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_FNNCL_GRNT_INSTRMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_FNNCL_GRNT_LDM:BIRD_TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_LDM:BIRD_TRNCH_SYNTHTC_SCRTSTN_LDM:BIRD_SCRTSTN_TRNCH_LDM:BIRD_FNNCL_GRNT_INSTRMNT_BNFCRY_ASSGNMNT_LDM:BIRD_PRTCTN_PRVDR_LDM:BIRD_PRTCTN_PRTCTN_PRVD_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM
BIRD_PRTNR_ENTRPRS_LDM,BIRD_CNTRL_BNK_PRVT_SCTR_CMPNY_RL_LDM:BIRD_CNTRL_BNK_PRVT_SCTR_CMPNY_LDM:BIRD_ORGNSTN_LDM:BIRD_ORGNSTN_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_LGL_PRSN_LDM:BIRD_PRTY_LDM:BIRD_ORGNSTNL_UNT_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM:BIRD_ORGNSTN_RSK_DT_LDM:BIRD_LGL_PRSN_RL_LDM:BIRD_RTNG_SYSTM_APPLD_LGL_PRSN_LDM:BIRD_NMRC_RTNG_SYSTM_LDM:BIRD_RTNG_SYSTM_LDM:BIRD_RTNG_GRD_OTHR_ORGNSTN_ASSGNMNT_LDM:BIRD_RTNG_GRD_ISSR_BSD_RTNG_SYSTM_NN_CNTRL_GVRNMNT_LDM:BIRD_RTNG_GRD_ISSR_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_GRD_LDM:BIRD_IMMDT_PRNT_ENTRPRS_ASSGNMNT_LDM:BIRD_IMMDT_PRTNR_ENTRPRS_LDM:BIRD_LNKD_ENTRPRS_ASSGNMNT_LDM:BIRD_LNKD_ENTRPRS_LDM:BIRD_PRTNR_ENTRPRS_ASSGNMNT_LDM:BIRD_PRTNR_ENTRPRS_LDM
BIRD_PRTNR_ENTRPRS_ASSGNMNT_LDM,BIRD_CNTRL_BNK_PRVT_SCTR_CMPNY_LDM:BIRD_ORGNSTN_LDM:BIRD_ORGNSTN_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_LGL_PRSN_LDM:BIRD_PRTY_LDM:BIRD_ORGNSTNL_UNT_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM:BIRD_ORGNSTN_RSK_DT_LDM:BIRD_LGL_PRSN_RL_LDM:BIRD_RTNG_SYSTM_APPLD_LGL_PRSN_LDM:BIRD_NMRC_RTNG_SYSTM_LDM:BIRD_RTNG_SYSTM_LDM:BIRD_CNTRL_BNK_PRVT_SCTR_CMPNY_RL_LDM:BIRD_RTNG_GRD_OTHR_ORGNSTN_ASSGNMNT_LDM:BIRD_RTNG_GRD_ISSR_BSD_RTNG_SYSTM_NN_CNTRL_GVRNMNT_LDM:BIRD_RTNG_GRD_ISSR_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_GRD_LDM:BIRD_IMMDT_PRNT_ENTRPRS_ASSGNMNT_LDM:BIRD_IMMDT_PRTNR_ENTRPRS_LDM:BIRD_LNKD_ENTRPRS_ASSGNMNT_LDM:BIRD_LNKD_ENTRPRS_LDM:BIRD_PRTNR_ENTRPRS_ASSGNMNT_LDM:BIRD_PRTNR_ENTRPRS_LDM
BIRD_PRTY_LDM,BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_PRTY_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM
BIRD_PRTY_PRVS_PRD_DT_LDM,BIRD_PRTY_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM
BIRD_PRTY_RL_LDM,BIRD_ENTTY_RL_LDM:BIRD_PRTY_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM
BIRD_PRTY_RSK_DT_LDM,BIRD_PRTY_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM
BIRD_PRVSN_LDM,BIRD_NN_FNNCL_LBLTY_LDM:BIRD_NN_FNNCL_ASST_NN_FNNCL_LBLTY_LDM
BIRD_PRVT_SCTR_CMPNY_OTHR_THN_CRPRTN_LDM,BIRD_CNTRL_BNK_PRVT_SCTR_CMPNY_LDM:BIRD_CNTRL_BNK_PRVT_SCTR_CMPNY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_ORGNSTN_LDM:BIRD_ORGNSTN_RL_LDM:BIRD_ORGNSTNL_UNT_LDM:BIRD_PRTY_LDM:BIRD_ORGNSTN_RSK_DT_LDM:BIRD_LGL_PRSN_LDM:BIRD_LGL_PRSN_RL_LDM:BIRD_RTNG_SYSTM_APPLD_LGL_PRSN_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM:BIRD_RTNG_GRD_OTHR_ORGNSTN_ASSGNMNT_LDM:BIRD_IMMDT_PRNT_ENTRPRS_ASSGNMNT_LDM:BIRD_LNKD_ENTRPRS_ASSGNMNT_LDM:BIRD_PRTNR_ENTRPRS_ASSGNMNT_LDM:BIRD_RTNG_GRD_ISSR_BSD_RTNG_SYSTM_NN_CNTRL_GVRNMNT_LDM:BIRD_RTNG_GRD_ISSR_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_GRD_LDM:BIRD_NN_CNTRL_GVRNMNT_RTNG_SYSTM_LDM:BIRD_ISSR_BSD_RTNG_SYSTM_LDM:BIRD_RTNG_SYSTM_LDM:BIRD_IMMDT_PRTNR_ENTRPRS_LDM:BIRD_LNKD_ENTRPRS_LDM:BIRD_PRTNR_ENTRPRS_LDM:BIRD_NMRC_RTNG_SYSTM_LDM:BIRD_RTNG_AGNCY_LDM
BIRD_PTNTL_RTL_EXPSR_CLSS_FNNCL_ASST_INSTRMNT_LDM,BIRD_FNNCL_ASST_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_INSTRMNT_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_OTC_DRVTV_HDG_LDM:BIRD_OTC_DRVTV_RL_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_EXCHNG_TRDBL_DRVTV_HDG_PSTN_LDM:BIRD_EXCHNG_TRDBL_DRVTV_POSTN_RL_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_CLLTRL_RCVD_INSTRMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_SRVCR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM
BIRD_QCCP_LDM,BIRD_ORGNSTN_RL_LDM:BIRD_ORGNSTN_LDM:BIRD_LGL_PRSN_LDM:BIRD_LGL_PRSN_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_PRTY_LDM:BIRD_RTNG_SYSTM_APPLD_LGL_PRSN_LDM:BIRD_NMRC_RTNG_SYSTM_LDM:BIRD_RTNG_SYSTM_LDM:BIRD_PRTY_RL_LDM:BIRD_PRTY_CD_LDM:BIRD_PRTY_PRVS_PRD_DT_LDM:BIRD_PRTY_RSK_DT_LDM:BIRD_ORGNSTNL_UNT_LDM:BIRD_ORGNSTN_RSK_DT_LDM:BIRD_MSTR_AGRMNT_QCCP_ASSGNMNT_LDM:BIRD_MSTR_AGRMNT_CCP_ASSGNMNT_LDM:BIRD_MSTR_AGRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_MSTR_AGRMNT_WIT_QCCP_LDM:BIRD_MSTR_AGRMNT_WIT_CCP_LDM:BIRD_MSTR_AGRMNT_LDM:BIRD_MSTR_AGRMNT_FNNCL_CNTRCT_ASSGNMNT_LDM:BIRD_QCCP_LDM
BIRD_RGSTRD_CLLTRL_LDM,BIRD_PHYSCL_CLLTRL_LDM:BIRD_PHYSCL_CLLTRL_INVSTMNT_PRPRTY_ASSGNMNT_LDM:BIRD_CLLTRL_NN_FNNCL_ASST_ASSGNMNT_LDM:BIRD_INVSTMNT_PRPRTY_LDM:BIRD_NN_FNNCL_ASST_LDM:BIRD_NN_FNNCL_ASST_NN_FNNCL_LBLTY_LDM:BIRD_CLLTRL_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_CLLTRL_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT_LDM:BIRD_PHYSCL_CLLTRL_NN_SFTWR_PPRTY_PLNT_EQPMNT_NT_TKN_INT_PSSSSN_ASSGNMNT_LDM:BIRD_PHYSCL_CLLTRL_NN_SFTWR_PPRTY_PLNT_EQPMNT_TKN_INT_PSSSSN_ASSGNMNT_LDM:BIRD_NN_SFTWR_PPRTY_PLNT_EQPMNT_NT_TKN_INT_PSSSSN_LDM:BIRD_PPRTY_PLNT_EQPMNT_NT_TKN_INT_PSSSSN_LDM:BIRD_PRPRTY_PLNT_EQPMNT_LDM:BIRD_NN_SFTWR_PPRTY_PLNT_EQPMNT_TKN_INT_PSSSSN_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_PRTCTN_PRTCTN_PRVD_ASSGNMNT_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_LDM:BIRD_INSTRMNT_RSLTNG_CRDT_FCLTY_LDM:BIRD_CRDT_FCLTY_RSK_DT_LDM:BIRD_CRDT_FCLTY_CRDTR_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_DBTR_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_SRVCR_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_INTRST_RT_LDM:BIRD_CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_TRDTNL_SCRTSTN_LDM:BIRD_SCRTSTN_LDM:BIRD_SCRTSN_OTHR_CRDT_TRNSFR_LDM:BIRD_FNNCL_CNTRCT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE_LDM:BIRD_LN_AND_ADVNC_LG_LN_AND_ADVNC_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM
BIRD_RL_ESTT_CLLTRL_LDM,BIRD_RGSTRD_CLLTRL_LDM:BIRD_PHYSCL_CLLTRL_LDM:BIRD_PHYSCL_CLLTRL_INVSTMNT_PRPRTY_ASSGNMNT_LDM:BIRD_CLLTRL_NN_FNNCL_ASST_ASSGNMNT_LDM:BIRD_INVSTMNT_PRPRTY_LDM:BIRD_NN_FNNCL_ASST_LDM:BIRD_NN_FNNCL_ASST_NN_FNNCL_LBLTY_LDM:BIRD_CLLTRL_LDM:BIRD_OFF_BLNC_INSTRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_CRDT_RSK_MTGTN_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_CLLTRL_ASSGNMNT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_CLLTRL_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_CLLTRL_ASSGNMNT_LDM:BIRD_PHYSCL_CLLTRL_NN_SFTWR_PPRTY_PLNT_EQPMNT_NT_TKN_INT_PSSSSN_ASSGNMNT_LDM:BIRD_PHYSCL_CLLTRL_NN_SFTWR_PPRTY_PLNT_EQPMNT_TKN_INT_PSSSSN_ASSGNMNT_LDM:BIRD_NN_SFTWR_PPRTY_PLNT_EQPMNT_NT_TKN_INT_PSSSSN_LDM:BIRD_PPRTY_PLNT_EQPMNT_NT_TKN_INT_PSSSSN_LDM:BIRD_PRPRTY_PLNT_EQPMNT_LDM:BIRD_NN_SFTWR_PPRTY_PLNT_EQPMNT_TKN_INT_PSSSSN_LDM:BIRD_OFF_BLNC_INSTRMNT_LDM:BIRD_INSTRMNT_LDM:BIRD_INSTRMNT_RL_LDM:BIRD_ABSTRCT_INSTRMNT_RL_LDM:BIRD_INSTRMNT_HDGD_OTC_DRVTV_LDM:BIRD_INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV_LDM:BIRD_OTC_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_PRTCN_ARRNGMNT_ASSGNMNT_LDM:BIRD_INSTRMNT_SRVCR_ASSGNMNT_LDM:BIRD_INSTRMNT_ENTTY_RL_ASSGNMNT_LDM:BIRD_PRTCTN_ARRNGMNT_LDM:BIRD_PRTCTN_PRTCTN_PRVD_ASSGNMNT_LDM:BIRD_DBT_SCRTY_PRTCTN_ARRNGMNT_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_LDM:BIRD_INSTRMNT_RSLTNG_CRDT_FCLTY_LDM:BIRD_CRDT_FCLTY_RSK_DT_LDM:BIRD_CRDT_FCLTY_CRDTR_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_ENTTY_RL_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_DBTR_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_SRVCR_ASSGNMNT_LDM:BIRD_CRDT_FCLTY_INTRST_RT_LDM:BIRD_CRDT_FCLTY_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM:BIRD_TRDTNL_SCRTSTN_LDM:BIRD_SCRTSTN_LDM:BIRD_SCRTSN_OTHR_CRDT_TRNSFR_LDM:BIRD_FNNCL_CNTRCT_LDM:BIRD_LN_EXCLDNG_RPRCHS_AGRMNT_AND_ADVNCE_LDM:BIRD_LN_AND_ADVNC_LG_LN_AND_ADVNC_ASSGNMNT_LDM:BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM:BIRD_LNG_SCRTY_PSTN_LDM:BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_LDM:BIRD_ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT_LDM:BIRD_SCRTY_PSTN_LDM:BIRD_INVSTR_LDM:BIRD_PRTY_RL_LDM:BIRD_ENTTY_RL_LDM:BIRD_SCRTY_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS_LDM:BIRD_FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_LDM:BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_PSTN_LDM
